,Region,VP,Ethnicity,BadHires
78,East,Patty Gallop,Group D,0
79,East,Patty Gallop,Group F,0
80,East,Jim Oyama,Group A,10
81,East,Jim Oyama,Group B,2
82,East,Jim Oyama,Group C,0
83,East,Jim Oyama,Group D,0
84,East,Jim Oyama,Group E,0
85,East,Jim Oyama,Group F,1
86,East,Jim Oyama,Group G,0
87,East,Brett Jones,Group A,259
88,East,Brett Jones,Group B,147
89,East,Brett Jones,Group C,20
90,East,Brett Jones,Group D,3
91,East,Brett Jones,Group E,4
92,East,Brett Jones,Group F,15
93,East,Brett Jones,Group G,1
94,East,Anabell Hynes,Group A,0
95,Northwest,Trudy Fitch,Group A,139
96,Northwest,Trudy Fitch,Group B,52
97,Northwest,Trudy Fitch,Group C,4
98,Northwest,Trudy Fitch,Group D,2
99,Northwest,Trudy Fitch,Group E,1
100,Northwest,Trudy Fitch,Group F,10
101,Northwest,Trudy Fitch,Group G,0
102,Northwest,Raquel Kaup,Group A,219
103,Northwest,Raquel Kaup,Group B,74
104,Northwest,Raquel Kaup,Group C,6
105,Northwest,Raquel Kaup,Group D,4
106,Northwest,Raquel Kaup,Group E,1
107,Northwest,Raquel Kaup,Group F,15
108,Northwest,Raquel Kaup,Group G,0
109,Northwest,Mikki Rein,Group A,107
110,Northwest,Mikki Rein,Group B,43
111,Northwest,Mikki Rein,Group C,2
112,Northwest,Mikki Rein,Group D,3
113,Northwest,Mikki Rein,Group E,0
114,Northwest,Mikki Rein,Group F,21
115,Northwest,Jerri Ebron,Group A,135
116,Northwest,Jerri Ebron,Group B,38
117,Northwest,Jerri Ebron,Group C,3
118,Northwest,Jerri Ebron,Group D,2
119,Northwest,Jerri Ebron,Group E,0
120,Northwest,Jerri Ebron,Group F,2
121,Northwest,Jerri Ebron,Group G,0
122,Northwest,Beverly Blair,Group A,116
123,Northwest,Beverly Blair,Group B,33
124,Northwest,Beverly Blair,Group C,5
125,Northwest,Beverly Blair,Group D,7
126,Northwest,Beverly Blair,Group E,2
127,Northwest,Beverly Blair,Group F,8
128,Northwest,Beverly Blair,Group G,0
129,Midwest,Tom Benson,Group A,174
130,Midwest,Tom Benson,Group B,61
131,Midwest,Tom Benson,Group C,8
132,Midwest,Tom Benson,Group D,2
133,Midwest,Tom Benson,Group E,3
134,Midwest,Tom Benson,Group F,10
135,Midwest,Reena Hentz,Group A,111
136,Midwest,Reena Hentz,Group B,28
137,Midwest,Reena Hentz,Group C,7
138,Midwest,Reena Hentz,Group D,1
139,Midwest,Reena Hentz,Group E,2
140,Midwest,Reena Hentz,Group F,5
141,Midwest,Reena Hentz,Group G,0
142,Midwest,Brad Eagles,Group A,142
143,Midwest,Brad Eagles,Group B,14
144,Midwest,Brad Eagles,Group C,7
145,Midwest,Brad Eagles,Group D,2
146,Midwest,Brad Eagles,Group E,2
147,Midwest,Brad Eagles,Group F,2
148,Midwest,Brad Eagles,Group G,0
149,Midwest,Aliza Fekete,Group A,137
150,Midwest,Aliza Fekete,Group B,31
151,Midwest,Aliza Fekete,Group C,11
152,Midwest,Aliza Fekete,Group D,4
153,Midwest,Aliza Fekete,Group E,4
154,Midwest,Aliza Fekete,Group F,4
155,Midwest,Aliza Fekete,Group G,0
156,North,Sherley Rhymes,Group A,165
157,North,Sherley Rhymes,Group B,45
158,North,Sherley Rhymes,Group C,22
159,North,Sherley Rhymes,Group D,4
160,North,Sherley Rhymes,Group E,2
161,North,Sherley Rhymes,Group F,8
162,North,Sherley Rhymes,Group G,0
163,North,Scott Salman,Group A,16
164,North,Scott Salman,Group B,6
165,North,Scott Salman,Group C,2
166,North,Scott Salman,Group D,0
167,North,Scott Salman,Group F,0
168,North,Ruthann Lee,Group A,171
169,North,Ruthann Lee,Group B,6
170,North,Ruthann Lee,Group C,5
171,North,Ruthann Lee,Group D,3
172,North,Ruthann Lee,Group E,3
173,North,Ruthann Lee,Group F,19
174,North,Lin Batista,Group A,2
175,North,Lin Batista,Group B,0
176,North,Lin Batista,Group F,0
177,North,Glennie Butters,Group A,149
178,North,Glennie Butters,Group B,48
179,North,Glennie Butters,Group C,12
180,North,Glennie Butters,Group D,2
181,North,Glennie Butters,Group E,2
182,North,Glennie Butters,Group F,16
183,North,Dan Brown,Group A,129
184,North,Dan Brown,Group B,35
185,North,Dan Brown,Group C,9
186,North,Dan Brown,Group D,0
187,North,Dan Brown,Group E,0
188,North,Dan Brown,Group F,3
189,North,Dan Brown,Group G,0
